InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
    2190000       2.039300  1.780703e-05       109.662529         5.024956       107.074357         4.759584  0.53  0.21672
    2200000       2.003886  1.747674e-05       108.322160         6.446391       106.416554         4.680140  0.37  0.22109
    2210000       1.969247  1.764082e-05       108.773517         5.202409       107.491526         4.606609  0.45  0.22664
    2220000       1.935136  1.768561e-05       103.460592         6.540457       105.639197         4.529593  0.47  0.22559
    2230000       1.901777  1.757006e-05       104.927485         3.841329       106.055824         4.454671  0.40  0.22500
    2240000       1.869045  1.727847e-05       107.766863         3.734381       106.304948         4.381733  0.46  0.22624
    2250000       1.836911  1.757720e-05       107.661332         4.645197       107.541325         4.305832  0.54  0.21442
    2260000       1.805531  1.747809e-05       105.093470         3.031153       104.331496         4.241718  0.41  0.22582
    2270000       1.774836  1.710690e-05       104.913686         6.258357       102.000202         4.180774  0.49  0.22358
    2280000       1.744884  1.719389e-05       106.445189         6.757400       103.412962         4.116891  0.36  0.21930
    2290000       1.715533  1.698542e-05       106.067838         4.338020       106.173909         4.059158  0.34  0.21499
    2300000       1.687019  1.616168e-05       106.023538         3.530724       104.451873         4.007930  0.46  0.22624
    2310000       1.659212  1.672782e-05       104.700281         5.698636       104.053397         3.949467  0.38  0.22264
    2320000       1.632078  1.601223e-05       105.099572         4.250957       103.106511         3.892733  0.40  0.22500
    2330000       1.605453  1.562755e-05       103.731425         4.234927       101.430250         3.831774  0.48  0.22471
    2340000       1.579364  1.661689e-05       104.710315         3.459228       102.883364         3.772077  0.37  0.22109
    2350000       1.553825  1.561547e-05       103.132640         3.304585       102.610424         3.724067  0.44  0.22680
    2360000       1.528914  1.590491e-05       104.425421         6.550491       101.143718         3.673666  0.51  0.22062
    2370000       1.504614  1.497170e-05       102.591405         4.559597       102.070720         3.623673  0.50  0.22222
    2380000       1.480862  1.599711e-05       101.308865         5.210379       102.788332         3.574668  0.41  0.22582
    2390000       1.457609  1.602602e-05       104.466318         4.976847       101.378265         3.523625  0.59  0.19955
    2400000       1.434880  1.583128e-05       102.724429         5.523222       102.683883         3.474235  0.51  0.22062
    2410000       1.412609  1.575342e-05        99.996259         2.789580        99.680169         3.430314  0.49  0.22358
    2420000       1.390802  1.557913e-05       101.289160         5.530843       100.814783         3.381719  0.45  0.22664
    2430000       1.369422  1.560873e-05       101.781536         3.530086       100.647128         3.335736  0.38  0.22264
    2440000       1.348533  1.544336e-05       100.601514         5.383400       100.684973         3.297675  0.36  0.21930
    2450000       1.328207  1.523455e-05        98.860768         3.478449        99.407560         3.253630  0.46  0.22624
    2460000       1.308298  1.528581e-05        97.970620         3.343635        98.835501         3.214077  0.55  0.21189
    2470000       1.288827  1.525942e-05       100.510037         3.273365        99.050764         3.168808  0.40  0.22500
    2480000       1.269612  1.503825e-05       100.376397         3.576256        99.433163         3.123578  0.41  0.22582
    2490000       1.250815  1.498494e-05       100.920302         4.954940        98.158790         3.085869  0.44  0.22680
    2500000       1.232470  1.496331e-05       100.016170         4.032372        98.287182         3.049421  0.35  0.21726
    2510000       1.214515  1.331065e-05        99.087764         2.711864        99.257422         3.014121  0.31  0.20670
    2520000       1.197004  1.438055e-05       101.275168         5.365009        98.476162         2.974384  0.43  0.22671
    2530000       1.179823  1.456590e-05        98.829970         3.975471        97.068843         2.941902  0.47  0.22559
    2540000       1.163047  1.384248e-05        98.931443         2.858526        98.478793         2.909542  0.48  0.22471
    2550000       1.146646  1.395718e-05        99.772972         2.110268        99.841769         2.871884  0.28  0.19626
    2560000       1.130590  1.416385e-05        99.368853         2.455289        99.194910         2.844571  0.50  0.22222
    2570000       1.114878  1.395156e-05       100.352094         3.997543        98.617178         2.806889  0.42  0.22639
    2580000       1.099479  1.404318e-05        98.339386         3.759980        97.778918         2.775165  0.42  0.22639
    2590000       1.084370  1.400944e-05        98.261161         3.324564        97.912375         2.742842  0.48  0.22471
    2600000       1.069551  1.372456e-05        97.190565         3.603386        97.537154         2.711367  0.54  0.21442
    2610000       1.054983  1.303053e-05        98.897699         5.112270        96.468505         2.675255  0.38  0.22264
    2620000       1.040642  1.372214e-05        99.832567         4.006715        97.636384         2.642661  0.47  0.22559
    2630000       1.026549  1.359569e-05        98.704596         4.536387        97.697774         2.606877  0.41  0.22582
    2640000       1.012669  1.345753e-05        98.862492         3.305453        97.909044         2.572568  0.41  0.22582
    2650000       0.999035  1.359756e-05        98.963245         3.410410        97.645544         2.540466  0.52  0.21879
    2660000       0.985616  1.348381e-05        99.422587         3.656519        97.215709         2.509818  0.48  0.22471
    2670000       0.972399  1.374039e-05        96.624892         2.836126        96.088567         2.475562  0.50  0.22222
    2680000       0.959377  1.340548e-05        97.047398         2.425704        95.822360         2.447713  0.42  0.22639
    2690000       0.946625  1.221589e-05        95.892309         2.453115        96.050457         2.417480  0.39  0.22394
    2700000       0.934011  1.350528e-05        95.934138         2.181060        94.903313         2.384453  0.52  0.21879
    2710000       0.921543  1.363349e-05        97.185870         2.051776        96.948376         2.351915  0.36  0.21930
